slot_index,data_rate_gbps
0,1.353866
1,0.061312
2,0.061312
3,0.013824
4,0.061312
5,0.0
6,0.061312
7,0.061312
8,0.061312
9,0.013824
10,0.061312
11,0.013824
12,0.061312
13,0.061312
14,0.059584
15,0.076864
16,0.061312
17,0.0
18,0.061312
19,0.061312
20,0.013824
21,0.099504
22,0.175104
23,0.335746
24,0.00864
25,0.061312
26,0.061312
27,0.061312
28,0.061312
29,0.013824
30,0.0
31,0.061312
32,0.061312
33,0.061312
34,0.061312
35,0.009072
36,0.013824
37,0.047488
38,0.061312
39,0.075136
40,0.061312
41,0.061312
42,0.013824
43,0.013824
44,0.061312
45,0.047488
46,0.013824
47,0.061312
48,0.122624
49,0.061312
50,0.013824
51,0.013824
52,0.061312
53,0.061312
54,0.061312
55,0.047488
56,0.013824
57,0.013824
58,0.061312
59,0.061312
60,0.061312
61,0.0544
62,0.006912
63,0.016704
64,0.235584
65,0.364546
66,0.013824
67,0.013824
68,0.047488
69,0.075136
70,0.047488
71,0.061312
72,0.013824
73,0.122624
74,0.061312
75,0.013824
76,0.0544
77,0.020736
78,0.061312
79,0.061312
80,0.047488
81,0.013824
82,0.0544
83,0.020736
84,0.061312
85,0.013824
86,0.061312
87,0.047488
88,0.013824
89,0.061312
90,0.075136
91,0.061312
92,0.0544
93,0.006912
94,4.720038
95,3.144088
96,5.690924
97,6.38353
98,4.720036
99,6.254512
100,5.222312
101,5.208488
102,6.775796
103,1.04084
104,0.094464
105,0.094464
106,0.114624
107,0.188608
108,3.759836
109,0.561604
110,3.157912
111,6.29752
112,3.674012
113,5.174824
114,5.812138
115,0.529924
116,6.770612
117,6.254512
118,2.627988
119,4.142624
120,0.061312
121,5.174824
122,6.38353
123,6.254512
124,0.020736
125,4.190112
126,2.0644
127,0.061312
128,2.125712
129,2.594324
130,0.013824
131,3.144088
132,5.27392
133,6.770612
134,6.291376
135,2.594324
136,1.609612
137,5.174824
138,3.660188
139,3.171736
140,0.0544
141,0.068224
142,0.061312
143,0.013824
144,0.061312
145,0.061312
146,0.0
147,0.079344
148,0.175104
149,0.364546
150,0.013824
151,0.061312
152,0.061312
153,0.061312
154,0.061312
155,0.013824
156,0.0
157,0.061312
158,0.061312
159,0.061312
160,0.061312
161,0.009072
162,0.013824
163,0.047488
164,0.061312
165,0.061312
166,0.075136
167,0.061312
168,0.013824
169,0.013824
170,0.061312
171,0.047488
172,0.013824
173,0.061312
174,0.122624
175,0.061312
176,0.013824
177,0.013824
178,0.061312
179,0.061312
180,0.061312
181,0.047488
182,0.013824
183,0.013824
184,0.061312
185,0.061312
186,0.061312
187,0.0544
188,0.006912
189,0.013824
190,0.218304
191,0.384706
192,0.013824
193,0.013824
194,0.047488
195,0.075136
196,0.047488
197,0.061312
198,0.013824
199,0.122624
200,0.061312
201,0.013824
202,0.0544
203,0.020736
204,0.061312
205,0.061312
206,0.047488
207,0.013824
208,0.0544
209,0.020736
210,0.061312
211,0.013824
212,0.061312
213,0.047488
214,0.013824
215,0.061312
216,0.075136
217,0.061312
218,0.0544
219,0.006912
220,0.075136
221,0.047488
222,0.013824
223,0.061312
224,0.075136
225,0.061312
226,0.061312
227,0.047488
228,0.061312
229,0.013824
230,0.094464
231,0.094464
232,0.08064
233,0.222592
234,0.141952
235,0.013824
236,0.061312
237,0.061312
238,0.061312
239,0.013824
240,0.061312
241,0.075136
242,0.061312
243,0.061312
244,0.047488
245,0.013824
246,0.061312
247,0.013824
248,0.061312
249,0.061312
250,0.075136
251,0.061312
252,0.0
253,0.061312
254,0.061312
255,0.013824
256,0.013824
257,0.047488
258,0.061312
259,0.061312
260,0.061312
261,0.013824
262,0.061312
263,0.013824
264,0.047488
265,0.075136
266,0.0544
267,0.068224
268,0.061312
269,0.013824
270,0.061312
271,0.061312
272,0.0
273,0.079344
274,0.175104
275,0.364546
276,0.013824
277,0.061312
278,0.061312
279,0.061312
280,0.061312
281,0.012096
282,0.001728
283,0.061312
284,0.061312
285,0.061312
286,0.013824
287,0.05656
288,0.013824
289,0.047488
290,0.061312
291,0.061312
292,0.075136
293,0.061312
294,0.013824
295,0.013824
296,0.061312
297,0.047488
298,0.013824
299,0.061312
300,0.122624
301,0.061312
302,0.013824
303,0.013824
304,0.061312
305,0.061312
306,0.061312
307,0.047488
308,0.012096
309,0.015552
310,0.061312
311,0.061312
312,0.061312
313,0.0544
314,0.006912
315,0.013824
316,0.198144
317,0.404866
318,0.013824
319,0.013824
320,0.047488
321,0.075136
322,0.047488
323,0.061312
324,0.013824
325,0.075136
326,0.061312
327,0.061312
328,0.0544
329,0.020736
330,0.061312
331,0.061312
332,0.047488
333,0.013824
334,0.0544
335,0.020736
336,0.061312
337,0.0
338,0.061312
339,0.061312
340,0.013824
341,0.061312
342,0.075136
343,0.061312
344,0.0544
345,0.006912
346,0.061312
347,0.061312
348,0.013824
349,0.061312
350,0.075136
351,0.061312
352,0.061312
353,0.047488
354,0.061312
355,0.013824
356,0.094464
357,0.094464
358,0.08064
359,0.222592
360,0.141952
361,0.013824
362,0.061312
363,0.061312
364,0.013824
365,0.061312
366,0.059584
367,0.015552
368,0.122624
369,0.061312
370,0.047488
371,0.013824
372,0.013824
373,0.061312
374,0.061312
375,0.061312
376,0.061312
377,0.061312
378,0.013824
379,0.061312
380,0.061312
381,0.013824
382,0.013824
383,0.047488
384,0.061312
385,0.061312
386,0.061312
387,0.013824
388,0.061312
389,0.013824
390,0.047488
391,0.061312
392,0.068224
393,0.068224
394,0.061312
395,0.013824
396,0.061312
397,0.061312
398,0.0
399,0.079344
400,0.175104
401,0.364546
402,0.013824
403,0.013824
404,0.061312
405,0.061312
406,0.061312
407,0.059584
408,0.001728
409,0.013824
410,0.061312
411,0.061312
412,0.061312
413,0.05656
414,0.013824
415,0.047488
416,0.061312
417,0.061312
418,0.075136
419,0.061312
420,0.013824
421,0.0
422,0.075136
423,0.047488
424,0.013824
425,0.061312
426,0.122624
427,0.061312
428,0.013824
429,0.013824
430,0.061312
431,0.061312
432,0.061312
433,0.047488
434,0.006912
435,0.020736
436,0.061312
437,0.061312
438,0.061312
439,0.0544
440,0.006912
441,0.013824
442,0.177984
443,0.377538
444,0.061312
445,0.013824
446,0.047488
447,0.075136
448,0.047488
449,0.013824
450,0.061312
451,0.075136
452,0.061312
453,0.061312
454,0.052672
455,0.00864
456,0.061312
457,0.061312
458,0.061312
459,0.013824
460,0.052672
461,0.00864
462,0.061312
463,0.013824
464,0.061312
465,0.061312
466,0.006912
467,0.020736
468,0.122624
469,0.061312
470,0.0544
471,0.006912
472,0.061312
473,0.061312
474,0.013824
475,0.061312
476,0.075136
477,0.061312
478,0.061312
479,0.047488
480,0.061312
481,0.013824
482,0.074304
483,0.114624
484,0.08064
485,0.202432
486,0.162112
487,0.013824
488,0.061312
489,0.061312
490,0.013824
491,0.047488
492,0.068224
493,0.020736
494,0.1088
495,0.061312
496,0.013824
497,0.061312
498,0.013824
499,0.047488
500,0.061312
501,0.061312
502,0.075136
503,0.061312
504,0.013824
505,0.061312
506,0.061312
507,0.013824
508,0.013824
509,0.047488
510,0.061312
511,0.061312
512,0.061312
513,0.013824
514,0.061312
515,0.013824
516,0.047488
517,0.061312
518,0.066496
519,0.069952
520,0.061312
521,0.013824
522,0.061312
523,0.061312
524,0.0
525,0.074304
526,0.159984
527,0.384706
528,0.013824
529,0.013824
530,0.061312
531,0.061312
532,0.061312
533,0.0544
534,0.006912
535,0.013824
536,0.061312
537,0.061312
538,0.061312
539,0.054832
540,0.015552
541,0.047488
542,0.061312
543,0.061312
544,0.075136
545,0.061312
546,0.013824
547,0.0
548,0.075136
549,0.047488
550,0.013824
551,0.061312
552,0.122624
553,0.061312
554,0.012096
555,0.015552
556,0.061312
557,0.061312
558,0.061312
559,0.047488
560,0.006912
561,0.020736
562,0.061312
563,0.061312
564,0.061312
565,0.0544
566,0.006912
567,0.013824
568,0.157824
569,0.397698
570,0.061312
571,0.013824
572,0.047488
573,0.061312
574,0.061312
575,0.013824
576,0.061312
577,0.075136
578,0.061312
579,0.061312
580,0.047488
581,0.013824
582,0.061312
583,0.061312
584,0.061312
585,0.0
586,0.061312
587,0.013824
588,0.061312
589,0.013824
590,0.061312
591,0.061312
592,0.006912
593,0.020736
594,0.122624
595,0.061312
596,0.0544
597,0.006912
598,0.061312
599,0.061312
600,0.013824
601,0.061312
602,0.0544
603,0.082048
604,0.061312
605,0.047488
606,0.061312
607,0.013824
608,0.054144
609,0.134784
610,0.08064
611,0.182272
612,0.182272
613,0.013824
614,0.061312
615,0.061312
616,0.013824
617,0.047488
618,0.068224
619,0.020736
620,0.1088
621,0.061312
622,0.013824
623,0.059584
624,0.015552
625,0.047488
626,0.061312
627,0.061312
628,0.075136
629,0.061312
630,0.013824
631,0.061312
632,0.061312
633,0.013824
634,0.013824
635,0.047488
636,0.061312
637,0.061312
638,0.061312
639,0.013824
640,0.013824
641,0.061312
642,0.047488
643,0.061312
644,0.061312
645,0.075136
646,0.061312
647,0.013824
648,0.061312
649,0.059584
650,0.001728
651,0.054144
652,0.159984
653,0.404866
654,0.013824
655,0.013824
656,0.061312
657,0.061312
658,0.061312
659,0.0544
660,0.006912
661,0.013824
662,0.061312
663,0.061312
664,0.061312
665,0.0544
666,0.015984
667,0.047488
668,0.061312
669,0.061312
670,0.075136
671,0.061312
672,0.013824
673,0.0
674,0.075136
675,0.821638
676,1.562124
677,0.061312
678,6.784438
679,3.415962
680,2.123984
681,0.015552
682,2.125712
683,3.415962
684,3.415962
685,1.595788
686,1.813262
687,0.278786
688,2.125712
689,3.176344
690,3.144088
691,3.1846
692,0.52474
693,0.013824
694,0.157824
695,0.397698
696,2.382034
697,0.015552
698,0.563588
699,3.415962
700,3.157912
701,2.594324
702,2.704592
703,2.657366
704,3.415962
705,2.899862
706,2.369938
707,1.046024
708,1.351562
709,3.415962
710,2.125712
711,1.80635
712,2.667616
713,1.046024
714,1.351562
715,2.078224
716,0.061312
717,0.013824
718,2.1188
719,0.278786
720,2.899862
721,6.057776
722,3.40905
723,0.264962
724,0.013824
725,3.46345
726,2.078224
727,3.22242
728,3.40905
729,2.132624
730,3.415962
731,1.867662
732,3.415962
733,1.820174
734,0.033984
735,0.154944
736,0.08064
737,0.162112
738,0.718532
739,1.580556
740,0.319362
741,3.179416
742,2.852374
743,0.460098
744,0.308608
745,0.027648
746,0.1088
747,0.061312
748,0.013824
749,0.0544
750,0.020736
751,0.047488
752,0.061312
753,0.061312
754,0.075136
755,0.061312
756,0.013824
757,0.013824
758,0.061312
759,0.061312
760,0.013824
761,0.047488
762,0.013824
763,0.061312
764,0.061312
765,2.383762
766,0.013824
767,2.641812
768,1.595788
769,2.936726
770,4.190112
771,1.623436
772,3.415962
773,2.336274
774,2.369938
775,3.944158
776,0.001728
777,0.033984
778,0.159984
779,0.683076
780,2.078224
781,0.013824
782,2.641812
783,3.415962
784,3.415962
785,3.151
786,0.006912
787,0.013824
788,2.641812
789,3.176344
790,3.157912
791,3.40905
792,0.015984
793,0.563588
794,2.852374
795,3.758364
796,5.236138
797,0.013824
798,2.383762
